Numero_BFS;Data_Vistoria;Data_Fiscalizacao;Status;Fiscal;Contratada;Regionaal;Tipo_Servico;Qtd_Inspecoes;Endereco;Coordenadas_Aceite;Coordenadas_Resposta;Coordenadas_Vistoria
10892;03/11/2025 22:22:03;03/11/2025 18:47:05;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;Av. Mazzei, 118 - Vila Mazzei, São Paulo - SP, 02310-000, Brasil;;-23,4786067,-46,60724;-23.47872506,-46.60717119
10893;03/11/2025 22:22:17;03/11/2025 18:41:13;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Equipe de Mutirão de Zeladoria de Vias e Logradouros Públicos;1;R. Cosme de Azevedo, 52 - Vila Mazzei, São Paulo - SP, 02307-010, Brasil;;-23,4780595,-46,6087323;-23.477851570784065,-46.608734694052536
10894;03/11/2025 22:22:28;03/11/2025 18:37:37;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Cosme de Azevedo, 13 - Vila Mazzei, São Paulo - SP, 02307-010, Brasil;;-23,4776819,-46,6089421;-23.477833070244277,-46.60879215502863
11031;04/11/2025 09:40:05;04/11/2025 09:39:08;Com Irregularidades;Vicente Malanga;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Varrição manual de vias e logradouros públicos;1;Av. Tucuruvi, 225 - Tucuruvi, São Paulo - SP, 02305-000, Brasil;;-23,4789747,-46,608688;-23.47864059845119,-46.608928487301384
980;03/10/2025 09:06:15;03/10/2025 09:04:40;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;Rua Capitão Rabelo, 185 - Jardim São Paulo, São Paulo - SP, 02039-010, Brasil;;-23,4934183,-46,6215251;-23.493438,-46.6213482
988;03/10/2025 09:15:38;03/10/2025 09:14:15;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;Rua Mateus Leme, 310 - Santana, São Paulo - SP, 02408-080, Brasil;;-23,4850473,-46,6269866;-23.4849825,-46.6272178
1002;03/10/2025 09:25:18;03/10/2025 09:24:00;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;Rua Mariquinha Viana, 465 - Mandaqui, São Paulo - SP, 02408-130, Brasil;;-23,4804019,-46,6259309;-23.4803771,-46.6259352
1010;03/10/2025 09:32:45;03/10/2025 09:28:41;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Mariquinha Viana, 396 - Água Fria, São Paulo - SP, 02408-130, Brasil;;-23,4803372,-46,6251625;-23.4803646,-46.6252763
1018;03/10/2025 09:35:49;03/10/2025 09:34:47;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Mariquinha Viana, 261 - Água Fria, São Paulo - SP, 02408-130, Brasil;;-23,4806967,-46,6242317;-23.4807775,-46.6242593
1046;03/10/2025 09:57:13;03/10/2025 09:55:36;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Cel. João da Silva Feijó, 378 - Parque Mandaqui, São Paulo - SP, 02422-200, Brasil;;-23,4707244,-46,639844;-23.471238664426014,-46.63966511933799
