N_BFS;N_CNC;Situacao_CNC;Data_Sincronizacao;Data_Fiscalizacao;Data_Execução;Fiscal;Regional;Area;Setor;Turno;Servico;Responsividade;Endereco;Coordenada;Fiscal_Contratada
16231;15351;Regularizado;17/11/2025 13:56:57;17/11/2025 13:56:47;17/11/2025 15:19:25;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Belisário Pena, 677 - Vila Maria Alta, São Paulo - SP, 02133-000, Brasil;-23.4974133,-46.5851183;Marcos Aurélio Silva do Prado
16232;15352;Regularizado;17/11/2025 13:58:15;17/11/2025 13:58:09;17/11/2025 15:27:21;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Maria José Barroso, 26 - Vila Maria Alta, São Paulo - SP, 02136-020, Brasil;-23.497351819441743,-46.58471320710544;Marcos Aurélio Silva do Prado
16234;15353;Regularizado;17/11/2025 14:00:54;17/11/2025 14:00:48;17/11/2025 15:40:38;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Belisário Pena, 779 - Vila Maria Alta, São Paulo - SP, 02133-000, Brasil;-23.4966384,-46.5844131;Marcos Aurélio Silva do Prado
16236;15355;Regularizado;17/11/2025 14:03:11;17/11/2025 14:03:06;17/11/2025 15:53:14;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Padre Sabóia de Medeiros, 1057 - Vila Maria Alta, São Paulo - SP, 02134-001, Brasil;-23.495907999808523,-46.58223064647263;Marcos Aurélio Silva do Prado
16239;15357;Regularizado;17/11/2025 14:06:13;17/11/2025 14:06:05;17/11/2025 16:09:41;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Belisário Pena, 1239 - Vila Maria Alta, São Paulo - SP, 02133-000, Brasil;-23.495029453035716,-46.58331576207219;Marcos Aurélio Silva do Prado
16242;15360;Regularizado;17/11/2025 14:08:02;17/11/2025 14:07:55;17/11/2025 16:21:44;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Conceição, 3544 - Vila Maria Alta, São Paulo - SP, 02135-001, Brasil;-23.49480463039528,-46.58329689001841;Ednilson Gomes Santiago
16251;15369;Regularizado;17/11/2025 14:14:15;17/11/2025 14:14:10;17/11/2025 17:01:12;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Yamato, 603 - Jardim Japao, São Paulo - SP, 02132-120, Brasil;-23.5009367,-46.573845;Marcos Aurélio Silva do Prado
16257;15375;Regularizado;17/11/2025 14:18:44;17/11/2025 14:18:38;17/11/2025 16:43:06;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Praça Yedo, 212 - Vila Maria Alta, São Paulo - SP, 02134-050, Brasil;-23.4996717,-46.5744233;Marcos Aurélio Silva do Prado
16266;15379;Regularizado;17/11/2025 14:21:13;17/11/2025 14:21:04;17/11/2025 16:38:15;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Praça Yedo, 248 - Vila Maria Alta, São Paulo - SP, 02134-050, Brasil;-23.4996107,-46.5746997;Marcos Aurélio Silva do Prado
16300;15414;Regularizado;17/11/2025 14:51:48;17/11/2025 14:51:41;17/11/2025 18:25:23;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Alberto Byington, 1846 - Vila Maria, São Paulo - SP, 02127-001, Brasil;-23.5009485,-46.5885698;Marcos Aurélio Silva do Prado
16311;15420;Regularizado;17/11/2025 15:02:05;17/11/2025 15:02:00;17/11/2025 18:17:01;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Adolfo Coelho, 341 - Lauzane Paulista, São Paulo - SP, 02443-000, Brasil;-23.474202585162004,-46.64591187402188;Adriano Terto dos Santos
16315;15425;Regularizado;17/11/2025 15:11:03;17/11/2025 15:10:56;17/11/2025 18:25:23;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Adolfo Coelho, 569 - Lauzane Paulista, São Paulo - SP, 02443-000, Brasil;-23.4722038,-46.6464129;Adriano Terto dos Santos
16366;15470;Respondido;17/11/2025 23:14:33;17/11/2025 23:13:36;18/11/2025 03:00:22;SELIMP - Claudio Rogério Ulhoa Cintra ;Santana/Tucuruvi;Santana/Tucuruvi;0;Noite;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Nova Cantareira, 1590 - Tucuruvi, São Paulo - SP, 02330-002, Brasil;-23.481651668879508,-46.61247967314577;Valdir Ribeiro Nunes
16368;15472;Respondido;18/11/2025 00:18:29;18/11/2025 00:17:47;18/11/2025 02:54:04;SELIMP - Claudio Rogério Ulhoa Cintra ;Santana/Tucuruvi;Santana/Tucuruvi;P;Noite;Varrição manual de vias e logradouros públicos;6;R. Casa Forte, 179 - Santana, São Paulo - SP, 02336-040, Brasil;-23.482272365805763,-46.615195297213546;Valdir Ribeiro Nunes
16369;15473;Respondido;18/11/2025 00:18:44;18/11/2025 00:18:32;18/11/2025 03:03:19;SELIMP - Claudio Rogério Ulhoa Cintra ;Santana/Tucuruvi;Santana/Tucuruvi;0;Noite;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Rua Padre Lourenço Cravero, 52 - Tucuruvi, São Paulo - SP, 02303-030, Brasil;-23.48181487061043,-46.61225877621059;Valdir Ribeiro Nunes
16371;15483;Regularizado;18/11/2025 06:25:18;18/11/2025 06:25:13;18/11/2025 09:26:44;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Dr. Benedito Estevam dos Santos, 1081 - Vila Maria Alta, São Paulo - SP, 02136-000, Brasil;-23.4974301,-46.5824376;Jeferson Alexandre Anacleto
16372;15484;Regularizado;18/11/2025 06:27:02;18/11/2025 06:26:58;18/11/2025 09:18:18;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Dr. Benedito Estevam dos Santos, 1032 - Vila Maria Alta, São Paulo - SP, 02136-000, Brasil;-23.4975301,-46.5829332;Jeferson Alexandre Anacleto
